dataset	installation
AAD Benthic Sampling Database	AADC DiGIR
ARGOS Satellite Tracking of animals	AADC DiGIR
Kelp rafts in the Southern Ocean	AADC DiGIR
Subantarctic Fur sealsat Heard Island, 1987/88	AADC DiGIR
10 year trend of levels of organochlorine pollutants in Antarctic seabirds 2003/04	AADC IPT
2007-08 Voyage 3 of the Aurora Australis, CEAMARC-CASO Krill Data	AADC IPT
2016 Aerial survey data of southern right whales (Eubalaena australis) off southern Australia	AADC IPT
ABBBS Bird Banding records from the Australian Antarctic Territory and Heard Island	AADC IPT
APIS - Antarctic Pack Ice Seals 1994-1999, plus historical data from the 1980s	AADC IPT
Abatus Microsatellites data set 2009/13	AADC IPT
Abundances of benthic invertebrate species in the CEAMARC region 2007/08	AADC IPT
Annotated Atlas of the Vascular Flora of Macquarie Island - 1979	AADC IPT
Antarctic Fur Seal Populations on Heard Island Summer 1987-1988	AADC IPT
Antarctic Marine Protists species checklist	AADC IPT
Australia's Census of Antarctic Marine Life project - IYGPT Data collected on the CEAMARC cruise 2007/08	AADC IPT
Australian Antarctic Division Herbarium	AADC IPT
Biology and population studies of two endemic orchid species on sub-Antarctic Macquarie Island	AADC IPT
Biology of Southern Ocean squid, ecological importance and potential commercial implications - a preliminary assessment 1995/2006	AADC IPT
Bunger Hills, 1999/2000 survey - nest sites of snow petrels Pagodroma nivea	AADC IPT
Cape Darnley Early-Autumn Phytoplankton Bloom, March 2012	AADC IPT
Cetacean Sightings Survey and Southern Ocean cetacean program	AADC IPT
Diatom abundance from CEAMARC coretop samples 2007/08	AADC IPT
Diatom and foraminiferal samples from surficial sediments of Prydz Bay, Antarctica	AADC IPT
Diatoms from SAZ Sediment traps	AADC IPT
Diatoms from the Vestfold Hills Lakes	AADC IPT
Diet results from Adelie penguins at Bechervaise Island and Whitney Point, 2012/13	AADC IPT
Diversity and evolution of Australian Antarctic sea spiders: Understanding species diversification and distribution patterns	AADC IPT
Duck sightings per month, Macquarie Island	AADC IPT
Ecology and Zoogeography of Parasites of Antarctic Fish	AADC IPT
Electron Micrograph Database - Marine Specimens	AADC IPT
Electron Micrograph Database - Terrestrial and Limnetic Specimens	AADC IPT
Elephant Seal Sightings, Heard Island	AADC IPT
Exotic terrestrial flatworms, Macquarie Island	AADC IPT
Fish catch from 1996/97 Voyage 1 WASTE (WOCE Antarctic Southern Transect Expedition)	AADC IPT
Foraging zones of Macaroni Penguins breeding at Heard Island 2000	AADC IPT
Further investigations of the effects of the Nella Dan oil spill 1988/94	AADC IPT
Gross body measurements of Antarctic Rock Cod (Trematomus bernacchii) collected at sites adjacent to Casey Station 2012/13	AADC IPT
Gross body measurements of Laternula elliptica collected from sites adjacent to Casey Station 2014/15	AADC IPT
Heard Island Shag Phalacrocorax nivalis census, Heard Island 1992	AADC IPT
High occurrence of jellyfish predation by black-browed and Campbell albatross identified by DNA metabarcoding 2017	AADC IPT
Hydroids of the BANZARE Antarctic expeditions 1929 - 1931	AADC IPT
Ice core meiofauna during the SIPEX and SIPEX II voyages	AADC IPT
Inventory of Antarctic seabird breeding sites	AADC IPT
Invertebrate survey, Heard Island 2001	AADC IPT
Invertebrates compiled by W.Block	AADC IPT
Kelp rafts in the Southern Ocean	AADC IPT
Kelp rafts in the Southern Ocean: intercontinental travel for sessile and semi-sessile organisms 2010	AADC IPT
King penguin census data, Gadget Gully, Macquarie Island (1993-2008)	AADC IPT
Length and weight of Antarctic Rock Cod (Trematomus bernacchii) from sites adjacent to Davis Station 2012/13	AADC IPT
Leopard Seal census, Heard Island 1987/88	AADC IPT
Leopard and Weddell seal program  1999/2002	AADC IPT
Macquarie Island Fur Seal Database	AADC IPT
Marine fauna survey of the Vestfold Hills and Rauer Island, 1981-82	AADC IPT
Microalgal Biodiversity at Antarctica 2001/04	AADC IPT
Morphological Responses of Abatus heart urchins to Sewage Contamination at Davis Station 2012/13	AADC IPT
Moss sampling in the Windmill Islands and the Vestfold Hills	AADC IPT
Moss species from Heard Island, 1987 and 2000	AADC IPT
Nest census, Windmill Islands 2002/03	AADC IPT
Orca observations from the shores of Macquarie Island	AADC IPT
Patterns of population genetic structure among Australian and South Pacific humpback whales 2007/11	AADC IPT
Pelagic Fish Observations 1968-1999	AADC IPT
Phytoplankton samples - 2001/02 V3 CLIVAR	AADC IPT
Phytoplankton samples - 2001/02 V7 LOSS	AADC IPT
Phytoplankton samples - 2005/06 V3 BROKE-West	AADC IPT
Phytoplankton samples - 2006/07 V3 SAZ-Sense	AADC IPT
Population abundance, trend, structure and distribution of the endangered Antarctic blue whale - Satellite Tag	AADC IPT
Presence of Disease in the Penguins and Skuas of Macquarie Island 2006	AADC IPT
RMT Trawl catch from 1985/86 V1 ADBEX III voyage	AADC IPT
RMT Trawl catch from the 1980/81 V5 FIBEX voyage	AADC IPT
RMT Trawl catch from the 1982/83 V2 ADBEX I voyage	AADC IPT
RMT Trawl catch from the 1983/84 V5 ADBEX II voyage	AADC IPT
RMT Trawl catch from the 1984/85 V5 SIBEX2 voyage	AADC IPT
RMT Trawl catch from the 1986/87 V7 AAMBER voyage	AADC IPT
RMT Trawl catch from the 1990/91 V6 AAMBER2 voyage	AADC IPT
RMT Trawl catch from the 1992/93 V6 KROCK voyage	AADC IPT
RMT Trawl catch from the 1995/96 V4 BROKE voyage	AADC IPT
RMT Trawl catch from the 2005/06 V3 BROKE-West voyage - Fish	AADC IPT
RMT Trawl catch from the 2005/06 V3 BROKE-West voyage - Zooplankton	AADC IPT
Resilience of Antarctic marine benthic invertebrates and the ecological consequences of environmental change - Amphipod Data 2002/10	AADC IPT
Rotifers of Macquarie Island	AADC IPT
Royal penguin Eudyptes schlegeli census and observations at North Head, Macquarie Island 1952/53	AADC IPT
Royal penguin Eudyptes schlegeli census, Macquarie Island, 1984	AADC IPT
Sample summary and analysis of biopsy samples collected during the Antarctic blue whale voyage 2013	AADC IPT
Sample summary and analysis of biopsy samples collected during the New Zealand Australian Antarctic Ecosystems Voyage 2015	AADC IPT
Seabirds of the Southern and South Indian Ocean	AADC IPT
Snow Petrel census, Reeve Hill, Windmill Islands, East Antarctica (1984-2003)	AADC IPT
Snow Petrel nest census, Mawson region 2004/05	AADC IPT
Soft sediment assemblages at Casey Station: Brown Bay Grid - samples taken along a pollution gradient.	AADC IPT
Southern Giant Petrel census data within the Australian Antarctic Territory	AADC IPT
Southern Ocean Continuous Zooplankton Recorder (SO-CPR) Survey	AADC IPT
Spring Phytoplankton Assemblages in the Southern Ocean Between Australia and Antarctica (CLIVAR-SR3)	AADC IPT
Squid collection from 1995/96 V4 BROKE	AADC IPT
Squid specimens from the 1991/92 V6 AAMBER2 voyage	AADC IPT
Stable isotope data from marine sediment and invertebrates from Davis Station 2009/10	AADC IPT
Survey of benthic and other marine invertebrates of Prydz Bay, 1990/91 Voyage 6	AADC IPT
Systematic list of benthic invertebrates identified in the Heard Island and McDonald Islands region from 129 beam trawl or epibenthic sled samples 2003/08	AADC IPT
The Ecology and Biogeography of Heard Island Marine Benthos 1987/88	AADC IPT
Toxicity of copper to three Macquarie Island marine gastropods 2013/15	AADC IPT
Toxicity of copper, cadmium and zinc to Macquarie Island marine invertebrates 2012/15	AADC IPT
Type Localities for organisms and fossils first described from Antarctica	AADC IPT
Venom on ice: Novel venoms from Antarctic marine animals 2007/08	AADC IPT
Weddell Seal Sightings, Vestfold Hills, Antarctica	AADC IPT
Weddell Seal census, Vestfold Hills, Antarctica	AADC IPT
Whale Observations from the British, Australian and New Zealand Antarctic Research Expedition (BANZARE) voyages 1929-30 and 1930-31	AADC IPT
Whale catches in the Southern Ocean	AADC IPT
Whale log - observations from ANARE voyages	AADC IPT
Winter Foraging Locations Of Southern Ocean Predators - sub-Antarctic islands 2008/09	AADC IPT
Zooplankton Abundance_Umbrella net_sea ice zone 2007/12	AADC IPT
Zooplankton abundance in the Kerguelen Axis region 2016	AADC IPT
A collection of Antarctic Nemertea	ANTABIF IPT
A collection of Antarctic Phipoda	ANTABIF IPT
ANTAVIA TrackingKing	ANTABIF IPT
ANTXXIII-8 Birds and Mammals	ANTABIF IPT
Admiralty Bay Benthos Diversity Data Base (ABBED). Cumacea.	ANTABIF IPT
Admiralty Bay Benthos Diversity Data Base (ABBED). Polychaeta. 1979-80	ANTABIF IPT
Admiralty Bay Benthos Diversity Data Base (ABBED). Pycnogonida.	ANTABIF IPT
Admiralty Bay Benthos Diversity Data Base (ABBED). Tanaidacea.	ANTABIF IPT
Aeolian microbial dispersal limitation to Antarctica (2017)	ANTABIF IPT
Airborne Bacteria from Miers Valley, Antarctica	ANTABIF IPT
Amphipoda Hyperiidea of the Southern Ocean:  catalogue and occurrences	ANTABIF IPT
Annelid Fauna of the Prince Gustav Channel, a previously ice-covered seaway on the northeastern Antarctic Peninsula - Data	ANTABIF IPT
Ant'Phipoda Database (New records)	ANTABIF IPT
Antarctic Amphipod Crustaceans: Ant'Phipoda Database (BIANZO)	ANTABIF IPT
Antarctic Amphipoda	ANTABIF IPT
Antarctic Arrow worms	ANTABIF IPT
Antarctic Echinoids: an interactive database	ANTABIF IPT
"Antarctic Euphausiacea occurence data from ""German Antarctic Marine Living Resources"" (GAMLR) Expeditions"	ANTABIF IPT
Antarctic Euphausiacea occurence data from Norwegian Antarctic Research Expedition 1976-77	ANTABIF IPT
Antarctic Euphausiacea occurence data from Polish FIBEX expeditions	ANTABIF IPT
Antarctic Euphausiacea occurrence data from ITALICA 2000 Expedition	ANTABIF IPT
Antarctic Euphausiacea occurrence data from Norwegian Antarctic Research Expedition 1979	ANTABIF IPT
Antarctic Foraminiferans	ANTABIF IPT
Antarctic Isopods	ANTABIF IPT
Antarctic Jellyfish	ANTABIF IPT
Antarctic Krill Euphausia superba	ANTABIF IPT
Antarctic Krill occurrence data from Australian expeditions	ANTABIF IPT
Antarctic Krill occurrence data from BAS expeditions	ANTABIF IPT
Antarctic Krill occurrence data from Discovery expeditions	ANTABIF IPT
Antarctic Krill occurrence data from Japanese expeditions	ANTABIF IPT
"Antarctic Krill occurrence data from Spanish  RV ""Fruela"""	ANTABIF IPT
"Antarctic Krill occurrence data from US AMLR  ""US Antarctic Marine Living Resources"" Program"	ANTABIF IPT
Antarctic Krill occurrence data from Ukraine YUGNIRO Institute	ANTABIF IPT
Antarctic Marine Amoebae	ANTABIF IPT
Antarctic Marine Bacteria from Denmark University	ANTABIF IPT
Antarctic Marine Species Sequence Data	ANTABIF IPT
Antarctic Nemertea	ANTABIF IPT
Antarctic Parborlasia corrugatus	ANTABIF IPT
Antarctic Penguin Biogeography Project: Database of abundance and distribution for the Adélie, chinstrap, gentoo, emperor, macaroni, and king penguin south of 60 S	ANTABIF IPT
Antarctic Peninsula Bacterioplankton 16S rRNA gene surveys and metagenomes from Winter 2002 and Summer 2006.	ANTABIF IPT
Antarctic Pycnogonids II	ANTABIF IPT
Antarctic Rotifera literature review	ANTABIF IPT
Antarctic Starfish (Echinodermata: asteroidea) from the ANDEEP3 expedition	ANTABIF IPT
Antarctic Surface Snow Bacterial Communities	ANTABIF IPT
Antarctic and Sub-Antarctic Asteroidea database 2017	ANTABIF IPT
Antarctic and SubAntarctic Ophiuroidea - MNA (Section of Genoa)	ANTABIF IPT
Antarctic and Subantarctic Asteroid zoogeography	ANTABIF IPT
Antarctic and sub-Antarctic Lophogastrida occurrences	ANTABIF IPT
Antarctic cryosphere fungal diversity (2015)	ANTABIF IPT
Antarctic cryptoendolithic fungal communities ITS amplicon sequencing	ANTABIF IPT
Antarctic fish Gobionotothen gibberifrons	ANTABIF IPT
Antarctic macrobenthic communities: A compilation of circumpolar information	ANTABIF IPT
Antarctic pack ice Bacterial (16S) communities	ANTABIF IPT
Antarctic polar desert surface soil microbiome	ANTABIF IPT
Antarctic pycnogonids	ANTABIF IPT
Antarctic snow algae communities	ANTABIF IPT
Antarctic, Sub-Antarctic and cold temperate echinoid database	ANTABIF IPT
Archaea from the ANDEEP3 expedition	ANTABIF IPT
